Table 1
Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekly provisional figures on deaths registered5 where coronavirus (COVID-19)3 was mentioned on the death certificate in England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note that up-to-date counts of the total numbers of deaths involving coronavirus (COVID-19) are published by Department of Health and Social Care (DHSC) on the .GOV.UK website. ONS figures differ from the DHSC counts as the latter include deaths which have not yet been registered.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week number,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,85-89,0,0,0,0,0,0,0,0,0,0,0,24,102,617,"1,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90+,0,0,0,0,0,0,0,0,0,0,0,21,86,546,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Males 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30-34,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35-39,0,0,0,0,0,0,0,0,0,0,0,0,2,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40-44,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45-49,0,0,0,0,0,0,0,0,0,0,0,0,4,18,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50-54,0,0,0,0,0,0,0,0,0,0,0,2,5,43,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55-59,0,0,0,0,0,0,0,0,0,0,0,1,12,86,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60-64,0,0,0,0,0,0,0,0,0,0,1,0,19,118,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65-69,0,0,0,0,0,0,0,0,0,0,0,7,30,153,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70-74,0,0,0,0,0,0,0,0,0,0,0,6,38,266,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75-79,0,0,0,0,0,0,0,0,0,0,0,6,63,352,641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80-84,0,0,0,0,0,0,0,0,0,0,1,13,55,441,772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85-89,0,0,0,0,0,0,0,0,0,0,0,16,59,354,668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90+,0,0,0,0,0,0,0,0,0,0,0,11,42,272,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Females 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-29,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30-34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35-39,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40-44,0,0,0,0,0,0,0,0,0,0,0,1,0,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45-49,0,0,0,0,0,0,0,0,0,0,0,0,4,24,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50-54,0,0,0,0,0,0,0,0,0,0,0,0,4,21,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55-59,0,0,0,0,0,0,0,0,0,0,0,1,4,51,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60-64,0,0,0,0,0,0,0,0,0,0,0,2,11,51,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65-69,0,0,0,0,0,0,0,0,0,0,0,4,12,71,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70-74,0,0,0,0,0,0,0,0,0,0,1,3,19,136,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75-79,0,0,0,0,0,0,0,0,0,0,2,5,21,197,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80-84,0,0,0,0,0,0,0,0,0,0,0,7,42,241,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85-89,0,0,0,0,0,0,0,0,0,0,0,8,43,263,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90+,0,0,0,0,0,0,0,0,0,0,0,10,44,274,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by region of usual residence 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,0,0,0,0,0,0,0,0,0,0,0,1,15,134,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000002,North West,0,0,0,0,0,0,0,0,0,0,1,12,60,418,909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,5,12,174,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000004,East Midlands,0,0,0,0,0,0,0,0,0,0,0,3,24,185,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000005,West Midlands,0,0,0,0,0,0,0,0,0,0,2,14,67,400,807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000006,East,0,0,0,0,0,0,0,0,0,0,0,3,12,283,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,London,0,0,0,0,0,0,0,0,0,0,0,44,237,"1,170","1,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000008,South East,0,0,0,0,0,0,0,0,0,0,2,17,69,411,729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000009,South West,0,0,0,0,0,0,0,0,0,0,0,1,19,155,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W92000004,Wales,0,0,0,0,0,0,0,0,0,0,0,2,21,134,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Coding of deaths by cause for the latest week is not yet complete.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 For deaths registered from 1st January 2020, cause of death is coded to the ICD-10 classification using MUSE 5.5 software. Previous years were coded to IRIS 4.2.3, further information about the change in software is available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Deaths involving COVID-19 have been included within weekly death registrations figures due to the pandemic.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6 These figures represent death registrations, there can be a delay between the date a death occurred and the date a death was registered. More information can be found in our impact of registration delays release. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
