Table 1
Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekly provisional figures on death occurrence7 where coronavirus (COVID-19)3 was mentioned on the death certificate in England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note that up-to-date counts of the total numbers of deaths involving coronavirus (COVID-19) are published by Department of Health and Social Care (DHSC) on the .GOV.UK website. ONS figures differ from the DHSC counts as the latter include deaths which have not yet been registered.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week number,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,85-89,0,0,0,0,0,0,0,0,0,0,8,84,317,804,"1,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90+,0,0,0,0,0,0,0,0,0,0,7,66,261,744,"1,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Males 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-29,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30-34,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35-39,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40-44,0,0,0,0,0,0,0,0,0,0,0,1,6,12,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45-49,0,0,0,0,0,0,0,0,0,0,0,2,12,37,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50-54,0,0,0,0,0,0,0,0,0,0,0,7,23,59,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55-59,0,0,0,0,0,0,0,0,0,0,1,8,45,109,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60-64,0,0,0,0,0,0,0,0,0,0,1,10,61,172,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65-69,0,0,0,0,0,0,0,0,0,0,4,16,80,226,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70-74,0,0,0,0,0,0,0,0,0,0,4,22,136,370,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75-79,0,0,0,0,0,0,0,0,0,0,1,30,188,490,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80-84,0,0,0,0,0,0,0,0,0,1,6,39,218,604,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85-89,0,0,0,0,0,0,0,0,0,0,7,45,180,484,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90+,0,0,0,0,0,0,0,0,0,0,5,32,138,363,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Females 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20-24,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-29,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30-34,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35-39,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40-44,0,0,0,0,0,0,0,0,0,0,1,1,2,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45-49,0,0,0,0,0,0,0,0,0,0,0,4,12,29,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50-54,0,0,0,0,0,0,0,0,0,0,0,8,13,26,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55-59,0,0,0,0,0,0,0,0,0,0,0,5,24,70,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60-64,0,0,0,0,0,0,0,0,0,0,2,9,25,81,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65-69,0,0,0,0,0,0,0,0,0,0,0,11,43,108,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70-74,0,0,0,0,0,0,0,0,0,0,2,12,73,178,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75-79,0,0,0,0,0,0,0,0,0,1,1,15,94,261,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80-84,0,0,0,0,0,0,0,0,0,0,0,32,117,350,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85-89,0,0,0,0,0,0,0,0,0,0,1,39,137,320,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90+,0,0,0,0,0,0,0,0,0,0,2,34,123,381,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by region of usual residence 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,0,0,0,0,0,0,0,0,0,0,0,4,42,208,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000002,North West,0,0,0,0,0,0,0,0,0,0,5,35,161,616,943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,0,0,0,0,0,0,0,0,0,0,0,11,55,277,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000004,East Midlands,0,0,0,0,0,0,0,0,0,0,2,19,91,277,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000005,West Midlands,0,0,0,0,0,0,0,0,0,0,9,54,236,668,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000006,East,0,0,0,0,0,0,0,0,0,0,3,13,139,434,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,London,0,0,0,0,0,0,0,0,0,0,15,154,681,1340,"1,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000008,South East,0,0,0,0,0,0,0,0,0,2,3,63,232,547,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000009,South West,0,0,0,0,0,0,0,0,0,0,1,15,61,216,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W92000004,Wales,0,0,0,0,0,0,0,0,0,0,0,14,70,181,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Coding of deaths by cause for the latest week is not yet be complete.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 For deaths registered from 1st January 2020, cause of death is coded to the ICD-10 classification using MUSE 5.5 software. Previous years were coded to IRIS 4.2.3, further information about the change in software is available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Deaths involving COVID-19 have been included within weekly death occurrence figures due to the pandemic.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6 These figures represent death occurrences, there can be a delay between the date a death occurred and the date a death was registered. More information can be found in our impact of registration delays release. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ONS deaths by actual date of death – registered by 18th April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
