Table 1
Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekly provisional figures on deaths registered7 in England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note that up-to-date counts of the total numbers of deaths involving coronavirus (COVID-19) are published by Department of Health and Social Care (DHSC) on the .GOV.UK website. ONS figures differ from the DHSC counts as the latter include deaths which have not yet been registered.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week number,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,10-14,4,9,4,8,4,4,4,7,7,7,6,4,4,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-19,6,16,10,15,23,10,16,20,24,21,18,15,12,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20-24,11,23,25,30,23,34,26,18,25,23,39,22,17,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-29,17,37,37,36,28,23,27,29,28,39,29,31,33,32,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30-34,32,46,47,38,58,38,40,60,50,53,55,41,55,54,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35-39,54,68,77,79,76,71,85,77,85,72,80,66,71,67,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40-44,69,85,118,116,100,95,92,117,103,104,90,100,95,106,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45-49,115,191,189,160,163,157,165,182,155,155,179,160,163,220,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50-54,239,279,306,280,278,289,288,232,261,258,260,245,235,376,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55-59,361,426,461,381,382,371,345,346,347,358,401,390,381,531,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60-64,486,604,562,535,525,512,490,511,494,481,500,469,522,733,852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65-69,696,857,803,791,732,689,641,695,682,679,685,686,699,"1,044","1,149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70-74,"1,164","1,341","1,210","1,167","1,196","1,120","1,113","1,048","1,111","1,090","1,068","1,094","1,106","1,690","1,797",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75-79,"1,535","1,724","1,612","1,474","1,445","1,358","1,305","1,338","1,255","1,325","1,366","1,373","1,397","2,179","2,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80-84,"2,049","2,290","2,103","1,863","1,811","1,698","1,704","1,696","1,713","1,798","1,738","1,694","1,850","2,826","3,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85-89,"2,457","2,697","2,421","2,188","2,124","2,040","2,039","1,927","2,015","1,969","1,951","1,902","2,016","3,015","3,564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90+,"2,898","3,297","2,924","2,626","2,583","2,433","2,517","2,475","2,398","2,391","2,483","2,302","2,428","3,413","3,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Males 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<1,30,29,38,28,22,14,29,32,30,31,24,25,27,26,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-4,5,4,4,6,4,5,4,5,6,7,5,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-9,2,4,4,4,4,2,1,4,4,1,1,3,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10-14,1,7,3,4,3,4,3,2,5,2,2,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-19,5,8,5,14,17,8,9,14,16,13,13,11,8,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20-24,7,14,21,23,16,23,19,14,19,16,26,17,11,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-29,7,28,31,31,19,11,19,17,21,27,20,22,22,22,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30-34,21,28,29,22,40,24,27,39,32,33,41,25,40,39,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35-39,32,46,49,45,45,53,52,46,51,45,48,47,40,36,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40-44,43,52,72,79,58,55,58,72,64,69,50,63,65,67,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45-49,62,114,106,90,107,95,99,105,95,93,109,99,97,124,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50-54,137,156,200,181,180,175,172,140,147,153,168,158,146,244,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55-59,191,259,295,215,247,208,209,195,189,220,246,229,235,336,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60-64,275,355,338,334,324,306,287,285,286,278,296,281,286,453,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65-69,415,509,471,482,437,423,400,400,417,388,424,404,423,662,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70-74,697,761,690,663,683,626,660,598,647,646,625,629,666,1039,"1,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75-79,826,924,886,819,827,713,726,778,709,725,748,763,788,1303,"1,451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80-84,1053,1172,1080,951,919,875,870,894,871,938,904,892,1005,1570,"1,795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85-89,1098,1231,1117,1014,970,943,995,906,956,932,935,905,984,1520,"1,826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90+,982,1127,991,910,872,843,852,893,870,841,885,820,883,1327,"1,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Females 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<1,18,21,31,25,28,16,14,19,19,25,29,19,22,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-4,3,5,3,3,2,3,2,0,1,4,8,0,5,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-9,2,4,1,0,1,2,1,2,2,1,2,3,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10-14,3,2,1,4,1,0,1,5,2,5,4,1,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-19,1,8,5,1,6,2,7,6,8,8,5,4,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20-24,4,9,4,7,7,11,7,4,6,7,13,5,6,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-29,10,9,6,5,9,12,8,12,7,12,9,9,11,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30-34,11,18,18,16,18,14,13,21,18,20,14,16,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35-39,22,22,28,34,31,18,33,31,34,27,32,19,31,31,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40-44,26,33,46,37,42,40,34,45,39,35,40,37,30,39,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45-49,53,77,83,70,56,62,66,77,60,62,70,61,66,96,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50-54,102,123,106,99,98,114,116,92,114,105,92,87,89,132,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55-59,170,167,166,166,135,163,136,151,158,138,155,161,146,195,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60-64,211,249,224,201,201,206,203,226,208,203,204,188,236,280,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65-69,281,348,332,309,295,266,241,295,265,291,261,282,276,382,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70-74,467,580,520,504,513,494,453,450,464,444,443,465,440,651,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75-79,709,800,726,655,618,645,579,560,546,600,618,610,609,876,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80-84,996,1118,1023,912,892,823,834,802,842,860,834,802,845,1256,"1,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85-89,1359,1466,1304,1174,1154,1097,1044,1021,1059,1037,1016,997,1032,1495,"1,738",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90+,1916,2170,1933,1716,1711,1590,1665,1582,1528,1550,1598,1482,1545,2086,"2,377",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by region of usual residence 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,673,707,647,612,561,564,573,539,572,568,590,522,542,770,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000002,North West,"1,806","1,932","1,696","1,529","1,461","1,529","1,427","1,477","1,476","1,490","1,472","1,443","1,538","2,137","2,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,"1,240","1,339","1,278","1,187","1,136","1,072","1,059","1,087","1,078","1,112","1,053","1,012",982,"1,436","1,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000004,East Midlands,"1,060","1,195","1,106","1,024","1,015",922,976,924,919,930,915,947,922,"1,246","1,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000005,West Midlands,"1,349","1,450","1,407","1,231","1,262","1,052","1,159","1,116","1,174","1,098","1,187","1,115","1,035","1,812","2,182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000006,East,"1,162","1,573","1,457","1,410","1,286","1,259","1,172","1,167","1,115","1,149","1,211","1,043","1,182","1,717","1,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,London,"1,113","1,272","1,073","1,028","1,092",987,967,"1,032","1,085",982,964,"1,008","1,297","2,511","2,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000008,South East,"1,814","2,132","2,064","1,833","1,820","1,729","1,688","1,675","1,587","1,726","1,751","1,657","1,822","2,294","2,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000009,South West,"1,225","1,487","1,466","1,253","1,233","1,157","1,169","1,118","1,133","1,170","1,174","1,156","1,092","1,520","1,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W92000004,Wales,787,939,767,723,727,690,728,679,651,652,675,719,719,920,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 This average is based on the actual number of death registrations recorded for each corresponding week over the previous five years. Moveable public holidays, when register offices are closed, affect the number of registrations made in the published weeks and in the corresponding weeks in previous years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Counts of deaths by underlying cause exclude deaths at age under 28 days. Counts of deaths involving Covid-19 will include neonatals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Coding of deaths by cause for the latest week is not yet complete.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 For deaths registered from 1st January 2020, cause of death is coded to the ICD-10 classification using MUSE 5.5 software. Previous years were coded to IRIS 4.2.3, further information about the change in software is available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 An 'underlying cause of death' refers to the main cause of death, whereas a cause being 'mentioned on the death certificate' means that it might be the main reason or a contributory reason to the cause of death",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6 Does not include deaths where age is either missing or not yet fully coded. For this reason counts of 'Persons', 'Males' and 'Females' may not sum to 'Total Deaths, all ages'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7 Does not include deaths of those resident outside England and Wales or those records where the place of residence is either missing or not yet fully coded. For this reason counts for ""Deaths by Region of usual residence"" may not sum to ""Total deaths, all ages"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8 These figures represent death registrations, there can be a delay between the date a death occurred and the date a death was registered. More information can be found in our impact of registration delays release. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
